Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1934,7,Music (Scoring),1,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",,One Night of Love,tt0025601
1934,7,Sound Recording,1,"One Night of LoveColumbia Studio Sound Department, John Livadary, Sound Director",,One Night of Love,tt0025601
1934,7,Music (Song),1,Music by Con Conrad; Lyrics by Herb Magidson,"""The Continental"" ",The Gay Divorcee,tt0025164
1934,7,Art Direction,1,"Cedric Gibbons, Fredric Hope",,The Merry Widow,tt0025493
1934,7,Short Subject (Cartoon),1,"Walt Disney, Producer",,The Tortoise and the Hare,tt0027126
1934,7,Assistant Director,1,John Waters,,Viva Villa!,tt0025948
1935,8,Cinematography,1,Hal Mohr,,A Midsummer Night's Dream,tt0026714
1935,8,Film Editing,1,Ralph Dawson,,A Midsummer Night's Dream,tt0026714
1935,8,Dance Direction,1,Dave Gould,I've Got a Feeling You're Fooling number,Broadway Melody of 1936,tt0026144
1935,8,Actress,1,Bette Davis,,Dangerous,tt0026261
1935,8,Dance Direction,1,Dave Gould,Straw Hat number,Folies Bergère de Paris,tt0026373
1935,8,Music (Song),1,Music by Harry Warren; Lyrics by Al Dubin,"""Lullaby Of Broadway""",Gold Diggers of 1935,tt0026421
1935,8,Short Subject (Comedy),1,"Jack Chertok, Producer",,How to Sleep,tt0026497
1935,8,Outstanding Production,1,Metro-Goldwyn-Mayer,,Mutiny on the Bounty,tt0026752
1935,8,Special Award,1,David Wark Griffith,,NA,NA
1935,8,Sound Recording,1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",,Naughty Marietta,tt0026768
1935,8,Art Direction,1,Richard Day,,The Dark Angel,tt0026264
1935,8,Actor,1,Victor McLaglen,,The Informer,tt0026529
1935,8,Directing,1,John Ford,,The Informer,tt0026529
1935,8,Music (Scoring),1,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",,The Informer,tt0026529
1935,8,Writing (Screenplay),1,Dudley Nichols,,The Informer,tt0026529
1935,8,Assistant Director,1,"Clem Beauchamp, Paul Wing",,The Lives of a Bengal Lancer,tt0026643
1935,8,Writing (Original Story),1,"Ben Hecht, Charles MacArthur",,The Scoundrel,tt0026970
1935,8,Short Subject (Cartoon),1,"Walt Disney, Producer",,Three Orphan Kittens,tt0027100
1935,8,Short Subject (Novelty),1,Gaumont British and Skibo Productions,,Wings over Mt. Everest,tt0024777
1936,9,Actress in a Supporting Role,1,Gale Sondergaard,,Anthony Adverse,tt0027300
1936,9,Cinematography,1,Gaetano Gaudio,,Anthony Adverse,tt0027300
1936,9,Film Editing,1,Ralph Dawson,,Anthony Adverse,tt0027300
1936,9,Music (Scoring),1,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",,Anthony Adverse,tt0027300
1936,9,Short Subject (One Reel),1,"Hal Roach, Producer",,Bored of Education,tt0027385
1936,9,Actor in a Supporting Role,1,Walter Brennan,,Come and Get It,tt0027459
1936,9,Art Direction,1,Richard Day,,Dodsworth,tt0027532
1936,9,Short Subject (Color),1,Warner Brothers,,Give Me Liberty,tt0027678
1936,9,Directing,1,Frank Capra,,Mr. Deeds Goes to Town,tt0027996
1936,9,Special Award,1,The March of Time,,NA,NA
1936,9,Sound Recording,1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",,San Francisco,tt0028216
1936,9,Music (Song),1,Music by Jerome Kern; Lyrics by Dorothy Fields,"""The Way You Look Tonight""",Swing Time,tt0028333
1936,9,Assistant Director,1,Jack Sullivan,,The Charge of the Light Brigade,tt0027438
1936,9,Short Subject (Cartoon),1,"Walt Disney, Producer",,The Country Cousin,tt0027468
1936,9,Special Award,1,W. Howard Greene and Harold Rosson,,The Garden of Allah,NA
1936,9,Actress,1,Luise Rainer,,The Great Ziegfeld,tt0027698
1936,9,Dance Direction,1,Seymour Felix,A Pretty Girl Is Like a Melody number,The Great Ziegfeld,tt0027698
1936,9,Outstanding Production,1,Metro-Goldwyn-Mayer,,The Great Ziegfeld,tt0027698
1936,9,Short Subject (Two Reel),1,Metro-Goldwyn-Mayer,,The Public Pays,tt0028146
1936,9,Actor,1,Paul Muni,,The Story of Louis Pasteur,tt0028313
1936,9,Writing (Original Story),1,"Pierre Collings, Sheridan Gibney",,The Story of Louis Pasteur,tt0028313
1936,9,Writing (Screenplay),1,"Pierre Collings, Sheridan Gibney",,The Story of Louis Pasteur,tt0028313
1937,10,Special Award,1,Edgar Bergen,,"""Charlie McCarthy""",tt0031150
1937,10,Dance Direction,1,Hermes Pan,Fun House number,A Damsel in Distress,tt0028757
1937,10,Special Award,1,W. Howard Greene,,A Star Is Born,tt0029606
1937,10,Writing (Original Story),1,"William A. Wellman, Robert Carson",,A Star Is Born,tt0029606
1937,10,Actor,1,Spencer Tracy,,Captains Courageous,tt0028691
1937,10,Actress in a Supporting Role,1,Alice Brady,,In Old Chicago,tt0029047
1937,10,Assistant Director,1,Robert Webb,,In Old Chicago,tt0029047
1937,10,Art Direction,1,Stephen Goosson,,Lost Horizon,tt0029162
1937,10,Film Editing,1,"Gene Havlick, Gene Milford",,Lost Horizon,tt0029162
1937,10,Irving G. Thalberg Memorial Award,1,Darryl F. Zanuck,,NA,NA
1937,10,Special Award,1,Mack Sennett,,NA,NA
1937,10,Special Award,1,The Museum of Modern Art Film Library,,NA,NA
1937,10,Music (Scoring),1,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",,One Hundred Men and a Girl,tt0029347
1937,10,Short Subject (Color),1,"Pete Smith, Producer",,Penny Wisdom,tt0029385
1937,10,Directing,1,Leo McCarey,,The Awful Truth,tt0028597
1937,10,Actress,1,Luise Rainer,,The Good Earth,tt0028944
1937,10,Cinematography,1,Karl Freund,,The Good Earth,tt0028944
1937,10,Sound Recording,1,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",,The Hurricane,tt0029030
1937,10,Actor in a Supporting Role,1,Joseph Schildkraut,,The Life of Emile Zola,tt0029146
1937,10,Outstanding Production,1,Warner Brothers,,The Life of Emile Zola,tt0029146
1937,10,Writing (Screenplay),1,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",,The Life of Emile Zola,tt0029146
1937,10,Short Subject (Cartoon),1,"Walt Disney, Producer",,The Old Mill,tt0029339
1937,10,Short Subject (One Reel),1,Skibo Productions,,The Private Life of the Gannets,tt0029443
1937,10,Short Subject (Two Reel),1,Metro-Goldwyn-Mayer,,Torture Money,tt0029684
1937,10,Music (Song),1,Music and Lyrics by Harry Owens,"""Sweet Leilani""",Waikiki Wedding,tt0029742
1938,11,Music (Scoring),1,Alfred Newman,,Alexander's Ragtime Band,tt0029852
1938,11,Actor,1,Spencer Tracy,,Boys Town,
1938,11,Writing (Original Story),1,"Dore Schary, Eleanore Griffin",,Boys Town,
1938,11,Short Subject (Two Reel),1,Warner Brothers,,Declaration of Independence,
1938,11,Short Subject (Cartoon),1,"Walt Disney, Producer",,Ferdinand the Bull,
1938,11,Actress,1,Bette Davis,,Jezebel,
1938,11,Actress in a Supporting Role,1,Fay Bainter,,Jezebel,
1938,11,Actor in a Supporting Role,1,Walter Brennan,,Kentucky,
1938,11,Irving G. Thalberg Memorial Award,1,Hal B. Wallis,,NA,NA
1938,11,Special Award,1,Deanna Durbin and Mickey Rooney,,NA,NA
1938,11,Special Award,1,Harry M. Warner,,NA,NA
1938,11,Special Award,1,Spawn of the North,,NA,NA
1938,11,Special Award,1,J. Arthur Ball,,NA,NA
1938,11,Writing (Screenplay),1,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",,Pygmalion,
1938,11,Special Award,1,Walt Disney,,Snow White and the Seven Dwarfs,
1938,11,Special Award,1,Oliver Marsh and Allen Davey,,Sweethearts,
1938,11,Short Subject (One Reel),1,Metro-Goldwyn-Mayer,,That Mothers Might Live,
1938,11,Art Direction,1,Carl J. Weyl,,The Adventures of Robin Hood,
1938,11,Film Editing,1,Ralph Dawson,,The Adventures of Robin Hood,
1938,11,Music (Original Score),1,Erich Wolfgang Korngold,,The Adventures of Robin Hood,
1938,11,Music (Song),1,Music by Ralph Rainger; Lyrics by Leo Robin,"""Thanks For The Memory""",The Big Broadcast of 1938,
1938,11,Sound Recording,1,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",,The Cowboy and the Lady,
1938,11,Cinematography,1,Joseph Ruttenberg,,The Great Waltz,
1938,11,Directing,1,Frank Capra,,You Can't Take It with You,
1938,11,Outstanding Production,1,Columbia,,You Can't Take It with You,
1939,12,Short Subject (One Reel),1,Paramount,,Busy Little Bears,
1939,12,Actress,1,Vivien Leigh,,Gone with the Wind,tt0031381
1939,12,Actress in a Supporting Role,1,Hattie McDaniel,,Gone with the Wind,tt0031381
1939,12,Art Direction,1,Lyle Wheeler,,Gone with the Wind,tt0031381
1939,12,Cinematography (Color),1,"Ernest Haller, Ray Rennahan",,Gone with the Wind,tt0031381
1939,12,Directing,1,Victor Fleming,,Gone with the Wind,tt0031381
1939,12,Film Editing,1,"Hal C. Kern, James E. Newcom",,Gone with the Wind,tt0031381
1939,12,Outstanding Production,1,Selznick International Pictures,,Gone with the Wind,tt0031381
1939,12,Special Award,1,William Cameron Menzies,,Gone with the Wind,tt0031381
1939,12,Writing (Screenplay),1,Sidney Howard,,Gone with the Wind,tt0031381
1939,12,Actor,1,Robert Donat,,"Goodbye, Mr. Chips",
1939,12,Writing (Original Story),1,Lewis R. Foster,,Mr. Smith Goes to Washington,
1939,12,Irving G. Thalberg Memorial Award,1,David O. Selznick,,NA,NA
1939,12,Special Award,1,Douglas Fairbanks,,NA,NA
1939,12,Special Award,1,The Motion Picture Relief Fund,,NA,NA
1939,12,Special Award,1,Judy Garland,,NA,NA
1939,12,Special Award,1,Technicolor Company,,NA,NA
1939,12,Short Subject (Two Reel),1,Warner Brothers,,Sons of Liberty,
1939,12,Actor in a Supporting Role,1,Thomas Mitchell,,Stagecoach,
1939,12,Music (Scoring),1,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",,Stagecoach,tt0031971
1939,12,Special Effects,1,"Fred Sersen, E. H. Hansen",,The Rains Came,
1939,12,Short Subject (Cartoon),1,"Walt Disney, Producer",,The Ugly Duckling,
1939,12,Music (Original Score),1,Herbert Stothart,,The Wizard of Oz,
1939,12,Music (Song),1,Music by Harold Arlen; Lyrics by E. Y. Harburg,"""Over The Rainbow""",The Wizard of Oz,
1939,12,Sound Recording,1,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",,When Tomorrow Comes,
1939,12,Cinematography (Black and White),1,Gregg Toland,,Wuthering Heights,
1940,13,Writing (Original Story),1,"Benjamin Glazer, John S. Toldy",,"Arise, My Love",
1940,13,Actress,1,Ginger Rogers,,Kitty Foyle,
1940,13,Special Award,1,Bob Hope,,NA,NA
1940,13,Special Award,1,Colonel Nathan Levinson,,NA,NA
1940,13,Film Editing,1,Anne Bauchens,,North West Mounted Police,
1940,13,Music (Original Score),1,"Leigh Harline, Paul J. Smith, Ned Washington",,Pinocchio,
1940,13,Music (Song),1,Music by Leigh Harline; Lyrics by Ned Washington,"""When You Wish Upon A Star""",Pinocchio,
1940,13,Art Direction (Black and White),1,"Cedric Gibbons, Paul Groesse",,Pride and Prejudice,
1940,13,Short Subject (One Reel),1,"Pete Smith, Producer",,Quicker 'N a Wink,
1940,13,Cinematography (Black and White),1,George Barnes,,Rebecca,
1940,13,Outstanding Production,1,Selznick International Pictures,,Rebecca,
1940,13,Sound Recording,1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",,Strike Up the Band,
1940,13,Short Subject (Two Reel),1,Warner Brothers,,"Teddy, the Rough Rider",
1940,13,Actress in a Supporting Role,1,Jane Darwell,,The Grapes of Wrath,
1940,13,Directing,1,John Ford,,The Grapes of Wrath,
1940,13,Writing (Original Screenplay),1,Preston Sturges,,The Great McGinty,
1940,13,Short Subject (Cartoon),1,Metro-Goldwyn-Mayer,,The Milky Way,
1940,13,Actor,1,James Stewart,,The Philadelphia Story,
1940,13,Writing (Screenplay),1,Donald Ogden Stewart,,The Philadelphia Story,
1940,13,Art Direction (Color),1,Vincent Korda,,The Thief of Bagdad,
1940,13,Cinematography (Color),1,Georges Périnal,,The Thief of Bagdad,
