"Year","Ceremony","Award","Winner","Recipient","Song","Film","IMDBid.x","IMDBid.y","ItemYear","ItemRuntime"
"1932/1933",6,"Short Subject (Novelty)",1,"Joe Rock, Producer",NA,"Krakatoa",NA,"tt0024231","1933","23 min"
"1932/1933",6,"Writing (Adaptation)",1,"Victor Heerman, Sarah Y. Mason",NA,"Little Women",NA,"tt3281548","2019","135 min"
"1932/1933",6,"Writing (Adaptation)",1,"Victor Heerman, Sarah Y. Mason",NA,"Little Women",NA,"tt0041594","1949","122 min"
"1932/1933",6,"Writing (Adaptation)",1,"Victor Heerman, Sarah Y. Mason",NA,"Little Women",NA,"tt0024264","1933","115 min"
"1932/1933",6,"Actress",1,"Katharine Hepburn",NA,"Morning Glory",NA,"tt0024353","1933","74 min"
"1932/1933",6,"Writing (Original Story)",1,"Robert Lord",NA,"One Way Passage",NA,"tt0023305","1932","67 min"
"1932/1933",6,"Short Subject (Comedy)",1,"Louis Brock, Producer",NA,"So This Is Harris",NA,"tt0024580","1933","28 min"
"1932/1933",6,"Actor",1,"Charles Laughton",NA,"The Private Life of Henry VIII",NA,"tt0024473","1933","97 min"
"1932/1933",6,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"The Three Little Pigs",NA,NA,NA,NA
"1932/1933",6,"Art Direction",1,"Cavalcade",NA,"William S. Darling",NA,NA,NA,NA
"1936",9,"Special Award",1,"W. Howard Greene and Harold Rosson",NA,"The Garden of Allah",NA,NA,NA,NA
"1938",11,"Actor",1,"Spencer Tracy",NA,"Boys Town",NA,"tt0029942","1938","96 min"
"1938",11,"Writing (Original Story)",1,"Dore Schary, Eleanore Griffin",NA,"Boys Town",NA,"tt0029942","1938","96 min"
"1938",11,"Short Subject (Two Reel)",1,"Warner Brothers",NA,"Declaration of Independence",NA,NA,NA,NA
"1938",11,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"Ferdinand the Bull",NA,"tt0030128","1938","8 min"
"1938",11,"Actress",1,"Bette Davis",NA,"Jezebel",NA,"tt0030287","1938","104 min"
"1938",11,"Actress in a Supporting Role",1,"Fay Bainter",NA,"Jezebel",NA,"tt0030287","1938","104 min"
"1938",11,"Actor in a Supporting Role",1,"Walter Brennan",NA,"Kentucky",NA,"tt0030317","1938","96 min"
"1938",11,"Writing (Screenplay)",1,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",NA,"Pygmalion",NA,"tt0030637","1938","89 min"
"1938",11,"Special Award",1,"Walt Disney",NA,"Snow White and the Seven Dwarfs",NA,NA,NA,NA
"1938",11,"Special Award",1,"Oliver Marsh and Allen Davey",NA,"Sweethearts",NA,NA,NA,NA
"1938",11,"Short Subject (One Reel)",1,"Metro-Goldwyn-Mayer",NA,"That Mothers Might Live",NA,"tt0030855","1938","10 min"
"1938",11,"Art Direction",1,"Carl J. Weyl",NA,"The Adventures of Robin Hood",NA,"tt0029843","1938","102 min"
"1938",11,"Film Editing",1,"Ralph Dawson",NA,"The Adventures of Robin Hood",NA,"tt0029843","1938","102 min"
"1938",11,"Music (Original Score)",1,"Erich Wolfgang Korngold",NA,"The Adventures of Robin Hood",NA,"tt0029843","1938","102 min"
"1938",11,"Music (Song)",1,"Music by Ralph Rainger; Lyrics by Leo Robin","""Thanks For The Memory""","The Big Broadcast of 1938",NA,"tt0029912","1938","91 min"
"1938",11,"Sound Recording",1,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",NA,"The Cowboy and the Lady",NA,"tt0030018","1938","91 min"
"1938",11,"Cinematography",1,"Joseph Ruttenberg",NA,"The Great Waltz",NA,"tt0030202","1938","104 min"
"1938",11,"Directing",1,"Frank Capra",NA,"You Can't Take It with You",NA,"tt0030993","1938","126 min"
"1938",11,"Outstanding Production",1,"Columbia",NA,"You Can't Take It with You",NA,"tt0030993","1938","126 min"
"1939",12,"Short Subject (One Reel)",1,"Paramount",NA,"Busy Little Bears",NA,"tt0031128","1939","10 min"
"1939",12,"Actor",1,"Robert Donat",NA,"Goodbye, Mr. Chips",NA,"tt0031385","1939","114 min"
"1939",12,"Writing (Original Story)",1,"Lewis R. Foster",NA,"Mr. Smith Goes to Washington",NA,"tt0031679","1939","129 min"
"1939",12,"Short Subject (Two Reel)",1,"Warner Brothers",NA,"Sons of Liberty",NA,"tt0031953","1939","20 min"
"1939",12,"Actor in a Supporting Role",1,"Thomas Mitchell",NA,"Stagecoach",NA,"tt0031971","1939","96 min"
"1939",12,"Special Effects",1,"Fred Sersen, E. H. Hansen",NA,"The Rains Came",NA,"tt0031835","1939","103 min"
"1939",12,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"The Ugly Duckling",NA,NA,NA,NA
"1939",12,"Music (Original Score)",1,"Herbert Stothart",NA,"The Wizard of Oz",NA,"tt0032138","1939","102 min"
"1939",12,"Music (Song)",1,"Music by Harold Arlen; Lyrics by E. Y. Harburg","""Over The Rainbow""","The Wizard of Oz",NA,"tt0032138","1939","102 min"
"1939",12,"Sound Recording",1,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",NA,"When Tomorrow Comes",NA,"tt0032124","1939","90 min"
"1939",12,"Cinematography (Black and White)",1,"Gregg Toland",NA,"Wuthering Heights",NA,"tt0032145","1939","104 min"
"1940",13,"Writing (Original Story)",1,"Benjamin Glazer, John S. Toldy",NA,"Arise, My Love",NA,"tt0032220","1940","110 min"
"1940",13,"Actress",1,"Ginger Rogers",NA,"Kitty Foyle",NA,"tt0032671","1940","108 min"
"1940",13,"Film Editing",1,"Anne Bauchens",NA,"North West Mounted Police",NA,"tt0032850","1940","126 min"
"1940",13,"Music (Original Score)",1,"Leigh Harline, Paul J. Smith, Ned Washington",NA,"Pinocchio",NA,"tt0032910","1940","88 min"
"1940",13,"Music (Song)",1,"Music by Leigh Harline; Lyrics by Ned Washington","""When You Wish Upon A Star""","Pinocchio",NA,"tt0032910","1940","88 min"
"1940",13,"Art Direction (Black and White)",1,"Cedric Gibbons, Paul Groesse",NA,"Pride and Prejudice",NA,"tt0032943","1940","118 min"
"1940",13,"Short Subject (One Reel)",1,"Pete Smith, Producer",NA,"Quicker 'N a Wink",NA,NA,NA,NA
"1940",13,"Cinematography (Black and White)",1,"George Barnes",NA,"Rebecca",NA,"tt0032976","1940","130 min"
"1940",13,"Outstanding Production",1,"Selznick International Pictures",NA,"Rebecca",NA,"tt0032976","1940","130 min"
"1940",13,"Sound Recording",1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",NA,"Strike Up the Band",NA,"tt0033110","1940","120 min"
"1940",13,"Short Subject (Two Reel)",1,"Warner Brothers",NA,"Teddy, the Rough Rider",NA,NA,NA,NA
"1940",13,"Actress in a Supporting Role",1,"Jane Darwell",NA,"The Grapes of Wrath",NA,"tt0032551","1940","129 min"
"1940",13,"Directing",1,"John Ford",NA,"The Grapes of Wrath",NA,"tt0032551","1940","129 min"
"1940",13,"Writing (Original Screenplay)",1,"Preston Sturges",NA,"The Great McGinty",NA,"tt0032554","1940","82 min"
"1940",13,"Short Subject (Cartoon)",1,"Metro-Goldwyn-Mayer",NA,"The Milky Way",NA,"tt0032794","1940","8 min"
