"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName"
"Best Actress in a Leading Role",NA,"Madame X","02-1930","tt0020126","Madame X","nm0154183","Ruth Chatterton",NA,NA
"Best Art Direction","Winner","Cedric Gibbons","02-1930","tt0019722","The Bridge of San Luis Rey","nm0316539","Cedric Gibbons",NA,NA
"Best Art Direction",NA,"William Cameron Menzies","02-1930","tt0019630","Alibi","nm0580017","William Cameron Menzies",NA,NA
"Best Art Direction",NA,"Mitchell Leisen","02-1930","tt0019843","Dynamite","nm0500552","Mitchell Leisen",NA,NA
"Best Art Direction",NA,"Harry Oliver","02-1930","tt0019429","Street Angel","nm0646856","Harry Oliver",NA,NA
"Best Art Direction",NA,"William Cameron Menzies","02-1930","tt0018666","The Awakening","nm0580017","William Cameron Menzies",NA,NA
"Best Art Direction",NA,"Hans Dreier","02-1930","tt0019257","The Patriot","nm0237417","Hans Dreier",NA,NA
"Best Cinematography","Winner","Clyde De Vinna","02-1930","tt0019574","White Shadows in the South Seas","nm0005682","Clyde De Vinna",NA,NA
"Best Cinematography",NA,"Ernest Palmer","02-1930","tt0018907","4 Devils","nm0005823","Ernest Palmer",NA,NA
"Best Cinematography",NA,"Arthur Edeson","02-1930","tt0020018","In Old Arizona","nm0249186","Arthur Edeson",NA,NA
"Best Cinematography",NA,"George Barnes","02-1930","tt0019237","Our Dancing Daughters","nm0055604","George Barnes",NA,NA
"Best Cinematography",NA,"Ernest Palmer","02-1930","tt0019429","Street Angel","nm0005823","Ernest Palmer",NA,NA
"Best Cinematography",NA,"John F. Seitz","02-1930","tt0019824","The Divine Lady","nm0005870","John F. Seitz",NA,NA
"Best Director","Winner","The Divine Lady","02-1930","tt0019824","The Divine Lady","nm0515979","Frank Lloyd",NA,NA
"Best Director",NA,"The Patriot","02-1930","tt0019257","The Patriot","nm0523932","Ernst Lubitsch",NA,NA
"Best Director",NA,"Drag","02-1930","tt0019833","Drag","nm0515979","Frank Lloyd",NA,NA
"Best Director",NA,"Weary River","02-1930","tt0019557","Weary River","nm0515979","Frank Lloyd",NA,NA
"Best Director",NA,"The Broadway Melody","02-1930","tt0019729","The Broadway Melody","nm0064600","Harry Beaumont",NA,NA
"Best Director",NA,"In Old Arizona","02-1930","tt0020018","In Old Arizona","nm0191899","Irving Cummings",NA,NA
"Best Director",NA,"Madame X","02-1930","tt0020126","Madame X","nm0000859","Lionel Barrymore",NA,NA
"Best Picture","Winner",NA,"02-1930","tt0019729","The Broadway Melody",NA,NA,NA,NA
"Best Picture",NA,NA,"02-1930","tt0019630","Alibi",NA,NA,NA,NA
"Best Picture",NA,NA,"02-1930","tt0020018","In Old Arizona",NA,NA,NA,NA
"Best Picture",NA,NA,"02-1930","tt0019993","The Hollywood Revue of 1929",NA,NA,NA,NA
"Best Picture",NA,NA,"02-1930","tt0019257","The Patriot",NA,NA,NA,NA
"Best Writing, Achievement","Winner","Hanns KrÃ¤ly","02-1930","tt0019257","The Patriot","nm0473134","Hanns KrÃ¤ly",NA,NA
"Best Writing, Achievement",NA,"Bess Meredyth","02-1930","tt0019591","A Woman of Affairs","nm0580648","Bess Meredyth",NA,NA
"Best Writing, Achievement",NA,"Tom Barry","02-1930","tt0020018","In Old Arizona","nm0058179","Tom Barry",NA,NA
"Best Writing, Achievement",NA,"Josephine Lovett","02-1930","tt0019237","Our Dancing Daughters","nm0522674","Josephine Lovett",NA,NA
"Best Writing, Achievement",NA,"Elliott J. Clawson","02-1930","tt0019348","Sal of Singapore","nm0165470","Elliott J. Clawson",NA,NA
"Best Writing, Achievement",NA,"Elliott J. Clawson","02-1930","tt0019398","Skyscraper","nm0165470","Elliott J. Clawson",NA,NA
"Best Writing, Achievement",NA,"Elliott J. Clawson","02-1930","tt0018792","The Cop","nm0165470","Elliott J. Clawson",NA,NA
"Best Writing, Achievement",NA,"Hanns KrÃ¤ly","02-1930","tt0020081","The Last of Mrs. Cheyney","nm0473134","Hanns KrÃ¤ly",NA,NA
"Best Writing, Achievement",NA,"Elliott J. Clawson","02-1930","tt0020088","The Leatherneck","nm0165470","Elliott J. Clawson",NA,NA
"Best Writing, Achievement",NA,"Tom Barry","02-1930","tt0020543","The Valiant","nm0058179","Tom Barry",NA,NA
"Best Writing, Achievement",NA,"Bess Meredyth","02-1930","tt0020603","Wonder of Women","nm0580648","Bess Meredyth",NA,NA
"Best Actor in a Leading Role","Winner","Disraeli","03-1930","tt0019823","Disraeli","nm0002183","George Arliss",NA,NA
"Best Actor in a Leading Role",NA,"The Green Goddess","03-1930","tt0020938","The Green Goddess","nm0002183","George Arliss",NA,NA
"Best Actor in a Leading Role",NA,"The Rogue Song","03-1930","tt0021307","The Rogue Song","nm0862546","Lawrence Tibbett",NA,NA
"Best Actor in a Leading Role",NA,"The Love Parade","03-1930","tt0020112","The Love Parade","nm0002001","Maurice Chevalier",NA,NA
"Best Actor in a Leading Role",NA,"The Big Pond","03-1930","tt0020690","The Big Pond","nm0002001","Maurice Chevalier",NA,NA
"Best Actor in a Leading Role",NA,"Condemned!","03-1930","tt0019785","Condemned!","nm0172903","Ronald Colman",NA,NA
"Best Actor in a Leading Role",NA,"Bulldog Drummond","03-1930","tt0019735","Bulldog Drummond","nm0172903","Ronald Colman",NA,NA
"Best Actor in a Leading Role",NA,"The Big House","03-1930","tt0020686","The Big House","nm0000891","Wallace Beery",NA,NA
"Best Actress in a Leading Role","Winner","The Divorcee","03-1930","tt0020827","The Divorcee","nm0790454","Norma Shearer",NA,NA
"Best Actress in a Leading Role",NA,"The Trespasser","03-1930","tt0020514","The Trespasser","nm0841797","Gloria Swanson",NA,NA
"Best Actress in a Leading Role",NA,"Romance","03-1930","tt0021310","Romance","nm0001256","Greta Garbo",NA,NA
"Best Actress in a Leading Role",NA,"Anna Christie","03-1930","tt0020641","Anna Christie","nm0001256","Greta Garbo",NA,NA
"Best Actress in a Leading Role",NA,"The Devil's Holiday","03-1930","tt0020823","The Devil's Holiday","nm0007216","Nancy Carroll",NA,NA
"Best Actress in a Leading Role",NA,"Their Own Desire","03-1930","tt0020488","Their Own Desire","nm0790454","Norma Shearer",NA,NA
"Best Actress in a Leading Role",NA,"Sarah and Son","03-1930","tt0021335","Sarah and Son","nm0154183","Ruth Chatterton",NA,NA
"Best Art Direction","Winner","Herman Rosse","03-1930","tt0021025","King of Jazz","nm0743983","Herman Rosse",NA,NA
"Best Art Direction",NA,"William Cameron Menzies","03-1930","tt0019735","Bulldog Drummond","nm0580017","William Cameron Menzies",NA,NA
"Best Art Direction",NA,"Jack Okey","03-1930","tt0020358","Sally","nm0645605","Jack Okey",NA,NA
"Best Art Direction",NA,"Hans Dreier","03-1930","tt0020112","The Love Parade","nm0237417","Hans Dreier",NA,NA
"Best Art Direction",NA,"Hans Dreier","03-1930","tt0021511","The Vagabond King","nm0237417","Hans Dreier",NA,NA
"Best Cinematography","Winner","Joseph T. Rucker, Willard Van der Veer","03-1930","tt0020594","With Byrd at the South Pole","nm0748530","Joseph T. Rucker",NA,NA
"Best Cinematography","Winner","Joseph T. Rucker, Willard Van der Veer","03-1930","tt0020594","With Byrd at the South Pole","nm0886447","Willard Van der Veer",NA,NA
"Best Cinematography",NA,"Arthur Edeson","03-1930","tt0020629","All Quiet on the Western Front","nm0249186","Arthur Edeson",NA,NA
"Best Cinematography",NA,"William H. Daniels","03-1930","tt0020641","Anna Christie","nm0200125","William H. Daniels",NA,NA
"Best Cinematography",NA,"Tony Gaudio, Harry Perry","03-1930","tt0020960","Hell's Angels","nm0309974","Tony Gaudio",NA,NA
"Best Cinematography",NA,"Tony Gaudio, Harry Perry","03-1930","tt0020960","Hell's Angels","nm0675091","Harry Perry",NA,NA
"Best Cinematography",NA,"Victor Milner","03-1930","tt0020112","The Love Parade","nm0005800","Victor Milner",NA,NA
"Best Director","Winner","All Quiet on the Western Front","03-1930","tt0020629","All Quiet on the Western Front","nm0587277","Lewis Milestone",NA,NA
"Best Director",NA,"Romance","03-1930","tt0021310","Romance","nm0113284","Clarence Brown",NA,NA
"Best Director",NA,"Anna Christie","03-1930","tt0020641","Anna Christie","nm0113284","Clarence Brown",NA,NA
"Best Director",NA,"The Love Parade","03-1930","tt0020112","The Love Parade","nm0523932","Ernst Lubitsch",NA,NA
"Best Director",NA,"Hallelujah","03-1930","tt0019959","Hallelujah","nm0896542","King Vidor",NA,NA
"Best Director",NA,"The Divorcee","03-1930","tt0020827","The Divorcee","nm0502752","Robert Z. Leonard",NA,NA
"Best Picture","Winner",NA,"03-1930","tt0020629","All Quiet on the Western Front",NA,NA,NA,NA
"Best Picture",NA,NA,"03-1930","tt0019823","Disraeli",NA,NA,NA,NA
"Best Picture",NA,NA,"03-1930","tt0020686","The Big House",NA,NA,NA,NA
"Best Picture",NA,NA,"03-1930","tt0020827","The Divorcee",NA,NA,NA,NA
"Best Picture",NA,NA,"03-1930","tt0020112","The Love Parade",NA,NA,NA,NA
"Best Sound, Recording","Winner","Douglas Shearer (sound director)","03-1930","tt0020686","The Big House","nm0790428","Douglas Shearer",NA,NA
"Best Sound, Recording",NA,"Oscar Lagerstrom (sound director)","03-1930","tt0021281","Raffles","nm0481264","Oscar Lagerstrom",NA,NA
"Best Sound, Recording",NA,"John E. Tribby (sound director)","03-1930","tt0020744","The Case of Sergeant Grischa","nm0872569","John E. Tribby",NA,NA
"Best Sound, Recording",NA,"Franklin Hansen (sound director)","03-1930","tt0020112","The Love Parade","nm0360630","Franklin Hansen",NA,NA
"Best Sound, Recording",NA,"George Groves (sound director)","03-1930","tt0021404","The Song of the Flame","nm0344060","George Groves",NA,NA
"Best Writing, Achievement","Winner","Frances Marion","03-1930","tt0020686","The Big House","nm0547966","Frances Marion",NA,NA
"Best Writing, Achievement",NA,"George Abbott, Maxwell Anderson, Del Andrews","03-1930","tt0020629","All Quiet on the Western Front","nm0007973","George Abbott",NA,NA
"Best Writing, Achievement",NA,"George Abbott, Maxwell Anderson, Del Andrews","03-1930","tt0020629","All Quiet on the Western Front","nm0027173","Maxwell Anderson",NA,NA
"Best Writing, Achievement",NA,"George Abbott, Maxwell Anderson, Del Andrews","03-1930","tt0020629","All Quiet on the Western Front","nm0028636","Del Andrews",NA,NA
"Best Writing, Achievement",NA,"Julien Josephson","03-1930","tt0019823","Disraeli","nm0430756","Julien Josephson",NA,NA
"Best Writing, Achievement",NA,"Howard Estabrook","03-1930","tt0021420","Street of Chance","nm0261455","Howard Estabrook",NA,NA
"Best Writing, Achievement",NA,"John Meehan","03-1930","tt0020827","The Divorcee","nm0576046","John Meehan",NA,NA
"Best Actor in a Leading Role","Winner","A Free Soul","04-1931","tt0021885","A Free Soul","nm0000859","Lionel Barrymore",NA,NA
"Best Actor in a Leading Role",NA,"The Front Page","04-1931","tt0021890","The Front Page","nm0579663","Adolphe Menjou",NA,NA
"Best Actor in a Leading Role",NA,"The Royal Family of Broadway","04-1931","tt0021322","The Royal Family of Broadway","nm0545298","Fredric March",NA,NA
"Best Actor in a Leading Role",NA,"Skippy","04-1931","tt0022397","Skippy","nm0178114","Jackie Cooper",NA,NA
"Best Actor in a Leading Role",NA,"Cimarron","04-1931","tt0021746","Cimarron","nm0228715","Richard Dix",NA,NA
"Best Actress in a Leading Role","Winner","Min and Bill","04-1931","tt0021148","Min and Bill","nm0237597","Marie Dressler",NA,NA
"Best Actress in a Leading Role",NA,"Holiday","04-1931","tt0020985","Holiday","nm0362267","Ann Harding",NA,NA
"Best Actress in a Leading Role",NA,"Cimarron","04-1931","tt0021746","Cimarron","nm0002050","Irene Dunne",NA,NA
"Best Actress in a Leading Role",NA,"Morocco","04-1931","tt0021156","Morocco","nm0000017","Marlene Dietrich",NA,NA
"Best Actress in a Leading Role",NA,"A Free Soul","04-1931","tt0021885","A Free Soul","nm0790454","Norma Shearer",NA,NA
"Best Art Direction","Winner","Max RÃ©e","04-1931","tt0021746","Cimarron","nm0753663","Max RÃ©e",NA,NA
