"AwardCategory","AwardWinner","PrimaryTitle","PrimaryID","SecondaryName.list","AwardCeremony","SecondaryID","SecondaryName","AwardCategory.y"
"Best Writing, Achievement",NA,"Skyscraper","title/tt0019398","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Skyscraper","title/tt0019398","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Cop","title/tt0018792","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Cop","title/tt0018792","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Cop","title/tt0018792","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Cop","title/tt0018792","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Last of Mrs. Cheyney","title/tt0020081","Hanns KrÃ¤ly","02-1930","name/nm0473134","Hanns KrÃ¤ly","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Last of Mrs. Cheyney","title/tt0020081","Hanns KrÃ¤ly","02-1930","name/nm0473134","Hanns KrÃ¤ly","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Leatherneck","title/tt0020088","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Leatherneck","title/tt0020088","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Leatherneck","title/tt0020088","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Leatherneck","title/tt0020088","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Valiant","title/tt0020543","Tom Barry","02-1930","name/nm0058179","Tom Barry","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Valiant","title/tt0020543","Tom Barry","02-1930","name/nm0058179","Tom Barry","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Wonder of Women","title/tt0020603","Bess Meredyth","02-1930","name/nm0580648","Bess Meredyth","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Wonder of Women","title/tt0020603","Bess Meredyth","02-1930","name/nm0580648","Bess Meredyth","Best Writing, Achievement"
"Best Actor in a Leading Role","Winner","George Arliss","name/nm0002183","Disraeli","03-1930","title/tt0019823","Disraeli","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"George Arliss","name/nm0002183","The Green Goddess","03-1930","title/tt0020938","The Green Goddess","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Lawrence Tibbett","name/nm0862546","The Rogue Song","03-1930","title/tt0021307","The Rogue Song","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Maurice Chevalier","name/nm0002001","The Love Parade","03-1930","title/tt0020112","The Love Parade","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Maurice Chevalier","name/nm0002001","The Big Pond","03-1930","title/tt0020690","The Big Pond","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Ronald Colman","name/nm0172903","Condemned!","03-1930","title/tt0019785","Condemned!","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Ronald Colman","name/nm0172903","Bulldog Drummond","03-1930","title/tt0019735","Bulldog Drummond","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Wallace Beery","name/nm0000891","The Big House","03-1930","title/tt0020686","The Big House","Best Actor in a Leading Role"
"Best Actress in a Leading Role","Winner","Norma Shearer","name/nm0790454","The Divorcee","03-1930","title/tt0020827","The Divorcee","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Gloria Swanson","name/nm0841797","The Trespasser","03-1930","title/tt0020514","The Trespasser","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Greta Garbo","name/nm0001256","Romance","03-1930","title/tt0021310","Romance","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Greta Garbo","name/nm0001256","Anna Christie","03-1930","title/tt0020641","Anna Christie","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Nancy Carroll","name/nm0007216","The Devil's Holiday","03-1930","title/tt0020823","The Devil's Holiday","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Norma Shearer","name/nm0790454","Their Own Desire","03-1930","title/tt0020488","Their Own Desire","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Ruth Chatterton","name/nm0154183","Sarah and Son","03-1930","title/tt0021335","Sarah and Son","Best Actress in a Leading Role"
"Best Art Direction","Winner","King of Jazz","title/tt0021025","Herman Rosse","03-1930","name/nm0743983","Herman Rosse","Best Art Direction"
"Best Art Direction",NA,"Bulldog Drummond","title/tt0019735","William Cameron Menzies","03-1930","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction",NA,"Sally","title/tt0020358","Jack Okey","03-1930","name/nm0645605","Jack Okey","Best Art Direction"
"Best Art Direction",NA,"The Love Parade","title/tt0020112","Hans Dreier","03-1930","name/nm0237417","Hans Dreier","Best Art Direction"
"Best Art Direction",NA,"The Love Parade","title/tt0020112","Hans Dreier","03-1930","name/nm0237417","Hans Dreier","Best Art Direction"
"Best Art Direction",NA,"The Vagabond King","title/tt0021511","Hans Dreier","03-1930","name/nm0237417","Hans Dreier","Best Art Direction"
"Best Art Direction",NA,"The Vagabond King","title/tt0021511","Hans Dreier","03-1930","name/nm0237417","Hans Dreier","Best Art Direction"
"Best Cinematography","Winner","With Byrd at the South Pole","title/tt0020594","Joseph T. Rucker, Willard Van der Veer","03-1930","name/nm0748530","Joseph T. Rucker","Best Cinematography"
"Best Cinematography","Winner","With Byrd at the South Pole","title/tt0020594","Joseph T. Rucker, Willard Van der Veer","03-1930","name/nm0886447","Willard Van der Veer","Best Cinematography"
"Best Cinematography",NA,"All Quiet on the Western Front","title/tt0020629","Arthur Edeson","03-1930","name/nm0249186","Arthur Edeson","Best Cinematography"
"Best Cinematography",NA,"Anna Christie","title/tt0020641","William H. Daniels","03-1930","name/nm0200125","William H. Daniels","Best Cinematography"
"Best Cinematography",NA,"Hell's Angels","title/tt0020960","Tony Gaudio, Harry Perry","03-1930","name/nm0309974","Tony Gaudio","Best Cinematography"
"Best Cinematography",NA,"Hell's Angels","title/tt0020960","Tony Gaudio, Harry Perry","03-1930","name/nm0675091","Harry Perry","Best Cinematography"
"Best Cinematography",NA,"The Love Parade","title/tt0020112","Victor Milner","03-1930","name/nm0005800","Victor Milner","Best Cinematography"
"Best Director","Winner","Lewis Milestone","name/nm0587277","All Quiet on the Western Front","03-1930","title/tt0020629","All Quiet on the Western Front","Best Director"
"Best Director",NA,"Clarence Brown","name/nm0113284","Romance","03-1930","title/tt0021310","Romance","Best Director"
"Best Director",NA,"Clarence Brown","name/nm0113284","Anna Christie","03-1930","title/tt0020641","Anna Christie","Best Director"
"Best Director",NA,"Ernst Lubitsch","name/nm0523932","The Love Parade","03-1930","title/tt0020112","The Love Parade","Best Director"
"Best Director",NA,"King Vidor","name/nm0896542","Hallelujah","03-1930","title/tt0019959","Hallelujah","Best Director"
"Best Director",NA,"Robert Z. Leonard","name/nm0502752","The Divorcee","03-1930","title/tt0020827","The Divorcee","Best Director"
"Best Picture","Winner","All Quiet on the Western Front","title/tt0020629","","03-1930",NA,NA,NA
"Best Picture",NA,"Disraeli","title/tt0019823","","03-1930",NA,NA,NA
"Best Picture",NA,"The Big House","title/tt0020686","","03-1930",NA,NA,NA
"Best Picture",NA,"The Divorcee","title/tt0020827","","03-1930",NA,NA,NA
"Best Picture",NA,"The Love Parade","title/tt0020112","","03-1930",NA,NA,NA
"Best Sound, Recording","Winner","The Big House","title/tt0020686","Douglas Shearer (sound director)","03-1930","name/nm0790428","Douglas Shearer","Best Sound, Recording"
"Best Sound, Recording",NA,"Raffles","title/tt0021281","Oscar Lagerstrom (sound director)","03-1930","name/nm0481264","Oscar Lagerstrom","Best Sound, Recording"
"Best Sound, Recording",NA,"The Case of Sergeant Grischa","title/tt0020744","John E. Tribby (sound director)","03-1930","name/nm0872569","John E. Tribby","Best Sound, Recording"
"Best Sound, Recording",NA,"The Love Parade","title/tt0020112","Franklin Hansen (sound director)","03-1930","name/nm0360630","Franklin Hansen","Best Sound, Recording"
"Best Sound, Recording",NA,"The Song of the Flame","title/tt0021404","George Groves (sound director)","03-1930","name/nm0344060","George Groves","Best Sound, Recording"
"Best Writing, Achievement","Winner","The Big House","title/tt0020686","Frances Marion","03-1930","name/nm0547966","Frances Marion","Best Writing, Achievement"
"Best Writing, Achievement",NA,"All Quiet on the Western Front","title/tt0020629","George Abbott, Maxwell Anderson, Del Andrews","03-1930","name/nm0007973","George Abbott","Best Writing, Achievement"
"Best Writing, Achievement",NA,"All Quiet on the Western Front","title/tt0020629","George Abbott, Maxwell Anderson, Del Andrews","03-1930","name/nm0027173","Maxwell Anderson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"All Quiet on the Western Front","title/tt0020629","George Abbott, Maxwell Anderson, Del Andrews","03-1930","name/nm0028636","Del Andrews","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Disraeli","title/tt0019823","Julien Josephson","03-1930","name/nm0430756","Julien Josephson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Street of Chance","title/tt0021420","Howard Estabrook","03-1930","name/nm0261455","Howard Estabrook","Best Writing, Achievement"
"Best Writing, Achievement",NA,"The Divorcee","title/tt0020827","John Meehan","03-1930","name/nm0576046","John Meehan","Best Writing, Achievement"
"Best Actor in a Leading Role","Winner","Lionel Barrymore","name/nm0000859","A Free Soul","04-1931","title/tt0021885","A Free Soul","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Adolphe Menjou","name/nm0579663","The Front Page","04-1931","title/tt0021890","The Front Page","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Fredric March","name/nm0545298","The Royal Family of Broadway","04-1931","title/tt0021322","The Royal Family of Broadway","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Jackie Cooper","name/nm0178114","Skippy","04-1931","title/tt0022397","Skippy","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Richard Dix","name/nm0228715","Cimarron","04-1931","title/tt0021746","Cimarron","Best Actor in a Leading Role"
"Best Actress in a Leading Role","Winner","Marie Dressler","name/nm0237597","Min and Bill","04-1931","title/tt0021148","Min and Bill","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Ann Harding","name/nm0362267","Holiday","04-1931","title/tt0020985","Holiday","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Irene Dunne","name/nm0002050","Cimarron","04-1931","title/tt0021746","Cimarron","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Marlene Dietrich","name/nm0000017","Morocco","04-1931","title/tt0021156","Morocco","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Norma Shearer","name/nm0790454","A Free Soul","04-1931","title/tt0021885","A Free Soul","Best Actress in a Leading Role"
"Best Art Direction","Winner","Cimarron","title/tt0021746","Max RÃ©e","04-1931","name/nm0753663","Max RÃ©e","Best Art Direction"
"Best Art Direction",NA,"Just Imagine","title/tt0021016","Stephen Goosson, Ralph Hammeras","04-1931","name/nm0329684","Stephen Goosson","Best Art Direction"
"Best Art Direction",NA,"Just Imagine","title/tt0021016","Stephen Goosson, Ralph Hammeras","04-1931","name/nm0358518","Ralph Hammeras","Best Art Direction"
"Best Art Direction",NA,"Morocco","title/tt0021156","Hans Dreier","04-1931","name/nm0237417","Hans Dreier","Best Art Direction"
"Best Art Direction",NA,"Svengali","title/tt0022454","Anton Grot","04-1931","name/nm0343819","Anton Grot","Best Art Direction"
"Best Art Direction",NA,"Whoopee!","title/tt0021549","Richard Day","04-1931","name/nm0206554","Richard Day","Best Art Direction"
"Best Cinematography","Winner","Tabu: A Story of the South Seas","title/tt0022458","Floyd Crosby","04-1931","name/nm0005677","Floyd Crosby","Best Cinematography"
"Best Cinematography",NA,"Cimarron","title/tt0021746","Edward Cronjager","04-1931","name/nm0005676","Edward Cronjager","Best Cinematography"
"Best Cinematography",NA,"Morocco","title/tt0021156","Lee Garmes","04-1931","name/nm0005716","Lee Garmes","Best Cinematography"
"Best Cinematography",NA,"Svengali","title/tt0022454","Barney McGill","04-1931","name/nm0569222","Barney McGill","Best Cinematography"
"Best Cinematography",NA,"The Right to Love","title/tt0021301","Charles Lang","04-1931","name/nm0485702","Charles Lang","Best Cinematography"
"Best Director","Winner","Norman Taurog","name/nm0851537","Skippy","04-1931","title/tt0022397","Skippy","Best Director"
"Best Director",NA,"Clarence Brown","name/nm0113284","A Free Soul","04-1931","title/tt0021885","A Free Soul","Best Director"
"Best Director",NA,"Josef von Sternberg","name/nm0903049","Morocco","04-1931","title/tt0021156","Morocco","Best Director"
"Best Director",NA,"Lewis Milestone","name/nm0587277","The Front Page","04-1931","title/tt0021890","The Front Page","Best Director"
"Best Director",NA,"Wesley Ruggles","name/nm0749484","Cimarron","04-1931","title/tt0021746","Cimarron","Best Director"
"Best Picture","Winner","Cimarron","title/tt0021746","","04-1931",NA,NA,NA
"Best Picture",NA,"East Lynne","title/tt0021826","","04-1931",NA,NA,NA
"Best Picture",NA,"Skippy","title/tt0022397","","04-1931",NA,NA,NA
