"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"The Butcher Boy","tt0118804","1997","110 min"
"Bye Bye Brazil","tt0080482","1980","110 min"
"The Earrings of Madame De...","tt0046022","1953","105 min"
"Cabaret","tt0068327","1972","124 min"
"The Caine Mutiny","tt0046816","1954","124 min"
"California Suite","tt0077289","1978","103 min"
"Calle 54","tt0260775","2000","105 min"
"Camelot","tt0061439","1967","179 min"
"Camille","tt0028683","1936","109 min"
"Captains Courageous","tt0028691","1937","117 min"
"Carmen Jones","tt0046828","1954","105 min"
"Carnal Knowledge","tt0066892","1971","98 min"
"Casablanca","tt0034583","1942","102 min"
"Cat on a Hot Tin Roof","tt0051459","1958","108 min"
"Catch-22","tt0065528","1970","122 min"
"Cavalcade","tt0023876","1933","112 min"
"The Celebration","tt0154420","1998","105 min"
"La Cérémonie","tt0112769","1995","112 min"
"Chan Is Missing","tt0083728","1982","80 min"
"Chariots of Fire","tt0082158","1981","125 min"
"Charley Varrick","tt0069865","1973","111 min"
"Chicago","tt0299658","2002","113 min"
"Chicken Run","tt0120630","2000","84 min"
"La Chienne","tt0021739","1931","95 min"
"Chinatown","tt0071315","1974","130 min"
"Love in the Afternoon","tt0068205","1972","97 min"
"Chocolat","tt0241303","2000","121 min"
"The Cider House Rules","tt0124315","1999","126 min"
"The Citadel","tt0029995","1938","110 min"
"Citizen Kane","tt0033467","1941","119 min"
"Claire's Knee","tt0065772","1970","105 min"
"The Clockmaker of St. Paul","tt0071622","1974","105 min"
"A Clockwork Orange","tt0066921","1971","136 min"
"Close Encounters of the Third Kind","tt0075860","1977","138 min"
"Close-Up","tt0100234","1990","98 min"
"Clueless","tt0112697","1995","97 min"
"Coal Miner's Daughter","tt0080549","1980","124 min"
"The Color of Money","tt0090863","1986","119 min"
"Come Back, Little Sheba","tt0044509","1952","99 min"
"Coming Home","tt0077362","1978","127 min"
"The Conformist","tt0065571","1970","113 min"
"The Conquest of Everest","tt0045646","1953","78 min"
"Contempt","tt0057345","1963","102 min"
"The Conversation","tt0071360","1974","113 min"
"Cool Hand Luke","tt0061512","1967","127 min"
"The Count of Monte Cristo","tt0025004","1934","113 min"
"The Country Girl","tt0046874","1954","104 min"
"The Cousins","tt0052708","1959","112 min"
"The Cranes Are Flying","tt0050634","1957","95 min"
"Cries & Whispers","tt0069467","1972","91 min"
"Crossfire","tt0039286","1947","86 min"
"Crumb","tt0109508","1994","119 min"
"Cry, the Beloved Country","tt0043436","1951","103 min"
"The Crying Game","tt0104036","1992","112 min"
"Damn Yankees","tt0051516","1958","111 min"
"The Damned","tt0064118","1969","156 min"
"Dance with a Stranger","tt0088987","1985","96 min"
"Dangerous Liaisons","tt0094947","1988","119 min"
"Daniel","tt0085398","1983","130 min"
"Danton","tt0083789","1983","136 min"
"Oci ciornie","tt0093664","1987","118 min"
"Dark Victory","tt0031210","1939","104 min"
"Darling","tt0059084","1965","128 min"
"David Copperfield","tt0026266","1935","130 min"
"David Holzman's Diary","tt0062864","1967","74 min"
"Dawn of the Dead","tt0077402","1978","127 min"
"Day for Night","tt0070460","1973","116 min"
"The Day of the Jackal","tt0069947","1973","143 min"
"The Day the Earth Stood Still","tt0043456","1951","92 min"
"Days of Heaven","tt0077405","1978","94 min"
"Days of Wine and Roses","tt0055895","1962","117 min"
"The Dead","tt0092843","1987","83 min"
"Dead Calm","tt0097162","1989","96 min"
"Dead End","tt0028773","1937","93 min"
"Dead Man Walking","tt0112818","1995","122 min"
"Dead of Night","tt0037635","1945","77 min"
"Dead Ringers","tt0094964","1988","116 min"
"Death in Venice","tt0067445","1971","130 min"
"Death of a Salesman","tt0043458","1951","115 min"
"Dekalog","tt0092337","1990","572 min"
"Deep End","tt0066122","1970","88 min"
"The Deer Hunter","tt0077416","1978","183 min"
"The Defiant Ones","tt0051525","1958","96 min"
"Deliverance","tt0068473","1972","109 min"
"Desperately Seeking Susan","tt0089017","1985","104 min"
"Destry Rides Again","tt0031225","1939","95 min"
"Diabolique","tt0046911","1955","117 min"
"Dial M for Murder","tt0046912","1954","105 min"
"Diary of a Chambermaid","tt0058249","1964","97 min"
"Diary of a Country Priest","tt0042619","1951","95 min"
"Die Hard","tt0095016","1988","132 min"
"Diner","tt0083833","1982","110 min"
"Dinner at Eight","tt0023948","1933","111 min"
"The Dirty Dozen","tt0061578","1967","150 min"
"Dirty Harry","tt0066999","1971","102 min"
"Dirty Rotten Scoundrels","tt0095031","1988","110 min"
"The Discreet Charm of the Bourgeoisie","tt0068361","1972","102 min"
"Disraeli","tt0019823","1929","90 min"
"Distant Thunder","tt0069737","1973","101 min"
"Diva","tt0082269","1981","117 min"
"Divorce Italian Style","tt0055913","1961","105 min"
"Do the Right Thing","tt0097216","1989","120 min"
"Dr. Jekyll and Mr. Hyde","tt0022835","1931","98 min"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012","1964","95 min"
"Doctor Zhivago","tt0059113","1965","197 min"
"Dodsworth","tt0027532","1936","101 min"
"La Dolce Vita","tt0053779","1960","174 min"
"Donnie Brasco","tt0119008","1997","127 min"
"Don't Look Back","tt0061589","1967","96 min"
"Double Indemnity","tt0036775","1944","107 min"
"Down by Law","tt0090967","1986","107 min"
"Dracula","tt0021814","1931","75 min"
"The Dreamlife of Angels","tt0120449","1998","113 min"
"Dressed to Kill","tt0080661","1980","104 min"
"The Dresser","tt0085461","1983","118 min"
"Driving Miss Daisy","tt0097239","1989","99 min"
"Drowning by Numbers","tt0092929","1988","118 min"
"Drugstore Cowboy","tt0097240","1989","101 min"
"Duck Soup","tt0023969","1933","69 min"
"The Duellists","tt0075968","1977","100 min"
"Dumbo","tt0033563","1941","64 min"
"East of Eden","tt0048028","1955","118 min"
"Easy Living","tt0028816","1937","88 min"
"Eat Drink Man Woman","tt0111797","1994","124 min"
"Effi Briest","tt0071458","1974","135 min"
"8½","tt0056801","1963","138 min"
"Eight Men Out","tt0095082","1988","119 min"
"The Elephant Man","tt0080678","1980","124 min"
"Elmer Gantry","tt0053793","1960","146 min"
"Empire of the Sun","tt0092965","1987","153 min"
"Enemies, A Love Story","tt0097276","1989","119 min"
"Children of Paradise","tt0037674","1945","189 min"
"The English Patient","tt0116209","1996","162 min"
"The Entertainer","tt0053796","1960","96 min"
"Entre Nous","tt0085370","1983","110 min"
"E.T. the Extra-Terrestrial","tt0083866","1982","115 min"
"Europa Europa","tt0099776","1990","112 min"
"Every Man for Himself","tt0079854","1980","87 min"
"The Exorcist","tt0070047","1973","122 min"
"The Exterminating Angel","tt0056732","1962","95 min"
"A Face in the Crowd","tt0050371","1957","126 min"
"Face to Face","tt0074147","1976","114 min"
"Faces","tt0062952","1968","130 min"
"The Family Game","tt0087545","1983","107 min"
"Fanny and Alexander","tt0083922","1982","188 min"
"Fantasia","tt0032455","1940","125 min"
"Farewell My Concubine","tt0106332","1993","171 min"
"Far from Heaven","tt0297884","2002","107 min"
"Fargo","tt0116282","1996","98 min"
"Fast, Cheap & Out of Control","tt0119107","1997","80 min"
"Atanarjuat: The Fast Runner","tt0285441","2001","172 min"
"Fat City","tt0068575","1972","96 min"
"Fatal Attraction","tt0093010","1987","119 min"
"Father of the Bride","tt0042451","1950","92 min"
"Fellini Satyricon","tt0064940","1969","129 min"
"La femme infidèle","tt0064323","1969","98 min"
"Nikita","tt0100263","1990","117 min"
"The Fisher King","tt0101889","1991","137 min"
"Fists in the Pocket","tt0059619","1965","105 min"
"Fitzcarraldo","tt0083946","1982","158 min"
"Five Easy Pieces","tt0065724","1970","98 min"
"The Flamingo Kid","tt0087265","1984","100 min"
"The Fly","tt0051622","1958","94 min"
"Force of Evil","tt0040366","1948","79 min"
"For Whom the Bell Tolls","tt0035896","1943","170 min"
"Forbidden Games","tt0043686","1952","86 min"
"A Foreign Affair","tt0040367","1948","116 min"
"The Fortune Cookie","tt0060424","1966","125 min"
"The 400 Blows","tt0053198","1959","99 min"
"Frankenstein","tt0021884","1931","70 min"
"The French Connection","tt0067116","1971","104 min"
"Frenzy","tt0068611","1972","116 min"
"Friendly Persuasion","tt0049233","1956","137 min"
"From Here to Eternity","tt0045793","1953","118 min"
"The Fugitive","tt0039402","1947","104 min"
"Full Metal Jacket","tt0093058","1987","116 min"
"The Full Monty","tt0119164","1997","91 min"
"Funny Face","tt0050419","1957","103 min"
"Funny Girl","tt0062994","1968","151 min"
"Fury","tt0027652","1936","92 min"
"Gallipoli","tt0082432","1981","110 min"
"Gandhi","tt0083987","1982","191 min"
"Gangs of New York","tt0217505","2002","167 min"
"The Garden of the Finzi-Continis","tt0065777","1970","94 min"
"Gas Food Lodging","tt0104321","1992","101 min"
"Gaslight","tt0036855","1944","114 min"
"Gate of Hell","tt0045935","1953","89 min"
"A Geisha","tt0045814","1953","85 min"
"The General","tt0120706","1998","124 min"
"Il Generale Della Rovere","tt0053856","1959","129 min"
