"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"The Fantastic Flying Books of Mr. Morris Lessmore","tt1778342","2011","15 min"
"The Artist","tt1655442","2011","100 min"
"Midnight in Paris","tt1605783","2011","94 min"
"The Girl with the Dragon Tattoo","tt1568346","2011","158 min"
"The Help","tt1454029","2011","146 min"
"The Muppets","tt1204342","2011","103 min"
"Rango","tt1192628","2011","107 min"
"The Descendants","tt1033575","2011","115 min"
"The Iron Lady","tt1007029","2011","105 min"
"Hugo","tt0970179","2011","126 min"
"Strangers No More","tt1754549","2010","40 min"
"The Lost Thing","tt1669698","2010","15 min"
"Inside Job","tt1645089","2010","109 min"
"God of Love","tt1631323","2010","18 min"
"Music by Prudence","tt1543539","2010","33 min"
"Beginners","tt1532503","2010","105 min"
"The King's Speech","tt1504320","2010","118 min"
"Inception","tt1375666","2010","148 min"
"In a Better World","tt1340107","2010","118 min"
"The Social Network","tt1285016","2010","120 min"
"Alice in Wonderland","tt1014759","2010","108 min"
"The Fighter","tt0964517","2010","116 min"
"Black Swan","tt0947798","2010","108 min"
"The Wolfman","tt0780653","2010","103 min"
"Toy Story 3","tt0435761","2010","103 min"
"Logorama","tt1563725","2009","16 min"
"The New Tenants","tt1520428","2009","21 min"
"The Cove","tt1313104","2009","92 min"
"The Secret in Their Eyes","tt1305806","2009","129 min"
"Crazy Heart","tt1263670","2009","112 min"
"Up","tt1049413","2009","96 min"
"The Young Victoria","tt0962736","2009","105 min"
"Precious","tt0929632","2009","110 min"
"The Blind Side","tt0878804","2009","129 min"
"Star Trek","tt0796366","2009","127 min"
"Avatar","tt0499549","2009","162 min"
"Inglourious Basterds","tt0361748","2009","153 min"
"The House of Small Cubes","tt1361566","2008","12 min"
"Smile Pinki","tt1360065","2008","39 min"
"Man on Wire","tt1155592","2008","94 min"
"Departures","tt1069238","2008","130 min"
"Milk","tt1013753","2008","128 min"
"Slumdog Millionaire","tt1010048","2008","120 min"
"The Reader","tt0976051","2008","124 min"
"WALL·E","tt0910970","2008","98 min"
"The Hurt Locker","tt0887912","2008","131 min"
"The Duchess","tt0864761","2008","110 min"
"Vicky Cristina Barcelona","tt0497465","2008","96 min"
"The Dark Knight","tt0468569","2008","152 min"
"The Curious Case of Benjamin Button","tt0421715","2008","166 min"
"Spielzeugland","tt1280548","2007","14 min"
"Freeheld","tt0914369","2007","39 min"
"Once","tt0907657","2007","86 min"
"Taxi to the Dark Side","tt0854678","2007","106 min"
"The Counterfeiters","tt0813547","2007","99 min"
"Atonement","tt0783233","2007","123 min"
"No Country for Old Men","tt0477348","2007","122 min"
"There Will Be Blood","tt0469494","2007","158 min"
"Juno","tt0467406","2007","96 min"
"Michael Clayton","tt0465538","2007","119 min"
"La Vie En Rose","tt0450188","2007","140 min"
"The Bourne Ultimatum","tt0440963","2007","115 min"
"Elizabeth: The Golden Age","tt0414055","2007","114 min"
"Sweeney Todd: The Demon Barber of Fleet Street","tt0408236","2007","116 min"
"The Golden Compass","tt0385752","2007","113 min"
"Ratatouille","tt0382932","2007","111 min"
"The Danish Poet","tt0933357","2006","15 min"
"Peter and The Wolf","tt0863136","2006","32 min"
"The Blood of Yingzhou District","tt0859595","2006","38 min"
"The Mozart of Pickpockets","tt0820971","2006","31 min"
"Letters from Iwo Jima","tt0498380","2006","141 min"
"An Inconvenient Truth","tt0497116","2006","96 min"
"Pan's Labyrinth","tt0457430","2006","118 min"
"The Last King of Scotland","tt0455590","2006","123 min"
"Babel","tt0449467","2006","143 min"
"Little Miss Sunshine","tt0449059","2006","101 min"
"Dreamgirls","tt0443489","2006","130 min"
"The Queen","tt0436697","2006","103 min"
"Marie Antoinette","tt0422720","2006","123 min"
"The Departed","tt0407887","2006","151 min"
"The Lives of Others","tt0405094","2006","137 min"
"Pirates of the Caribbean: Dead Man's Chest","tt0383574","2006","151 min"
"Happy Feet","tt0366548","2006","108 min"
"A Note of Triumph: The Golden Age of Norman Corwin","tt0491795","2005","39 min"
"Tsotsi","tt0468565","2005","94 min"
"The Moon and the Son: An Imagined Conversation","tt0449619","2005","28 min"
"West Bank Story","tt0438575","2005","21 min"
"March of the Penguins","tt0428803","2005","80 min"
"Hustle & Flow","tt0410097","2005","116 min"
"Memoirs of a Geisha","tt0397535","2005","145 min"
"Brokeback Mountain","tt0388795","2005","134 min"
"The Constant Gardener","tt0387131","2005","129 min"
"Capote","tt0379725","2005","114 min"
"Syriana","tt0365737","2005","128 min"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","tt0363771","2005","143 min"
"King Kong","tt0360717","2005","187 min"
"Walk the Line","tt0358273","2005","136 min"
"Wallace & Gromit: The Curse of the Were-Rabbit","tt0312004","2005","85 min"
"Mighty Times: The Children's March","tt0443587","2004","40 min"
"Six Shooter","tt0425458","2004","27 min"
"Ryan","tt0414469","2004","14 min"
"Million Dollar Baby","tt0405159","2004","132 min"
"Born Into Brothels: Calcutta's Red Light Kids","tt0388789","2004","85 min"
"Crash","tt0375679","2004","112 min"
"Sideways","tt0375063","2004","127 min"
"The Sea Inside","tt0369702","2004","126 min"
"Ray","tt0350258","2004","152 min"
"A Series of Unfortunate Events","tt0339291","2004","108 min"
"The Aviator","tt0338751","2004","170 min"
"Eternal Sunshine of the Spotless Mind","tt0338013","2004","108 min"
"The Motorcycle Diaries","tt0318462","2004","126 min"
"The Incredibles","tt0317705","2004","115 min"
"Spider-Man 2","tt0316654","2004","127 min"
"Finding Neverland","tt0308644","2004","106 min"
"Chernobyl Heart","tt0396959","2003","39 min"
"Wasp","tt0388534","2003","26 min"
"Harvie Krumpet","tt0382734","2003","23 min"
"Twin Towers","tt0344503","2003","34 min"
"Monster","tt0340855","2003","109 min"
"The Barbarian Invasions","tt0338135","2003","99 min"
"Lost in Translation","tt0335266","2003","102 min"
"Mystic River","tt0327056","2003","138 min"
"The Fog of War","tt0317910","2003","107 min"
"Master and Commander: The Far Side of the World","tt0311113","2003","138 min"
"Two Soldiers","tt0304858","2003","40 min"
"Finding Nemo","tt0266543","2003","100 min"
"The Lord of the Rings: The Return of the King","tt0167260","2003","201 min"
"Cold Mountain","tt0159365","2003","154 min"
"This Charming Man","tt0340071","2002","30 min"
"The Chubbchubbs!","tt0331218","2002","6 min"
"Bowling for Columbine","tt0310793","2002","120 min"
"Chicago","tt0299658","2002","113 min"
"Thoth","tt0299178","2002","40 min"
"8 Mile","tt0298203","2002","110 min"
"Talk to Her","tt0287467","2002","112 min"
"The Hours","tt0274558","2002","110 min"
"Adaptation.","tt0268126","2002","115 min"
"Road to Perdition","tt0257044","2002","117 min"
"The Pianist","tt0253474","2002","150 min"
"The Lord of the Rings: The Two Towers","tt0167261","2002","179 min"
"Frida","tt0120679","2002","123 min"
"Murder on a Sunday Morning","tt0307197","2001","111 min"
"Monster's Ball","tt0285742","2001","111 min"
"No Man's Land","tt0283509","2001","98 min"
"Iris","tt0280778","2001","91 min"
"Gosford Park","tt0280707","2001","137 min"
"A Beautiful Mind","tt0268978","2001","135 min"
"Black Hawk Down","tt0265086","2001","144 min"
"Spirited Away","tt0245429","2001","125 min"
"The Accountant","tt0222675","2001","35 min"
