"ItemYear","year_ceremony","ceremony","Award","AwardRecipient","ItemTitle","IMDBid","ItemRuntime"
1955,1956,28,"ART DIRECTION (Color)","Art Direction:  William Flannery, Jo Mielziner;  Set Decoration:  Robert Priestley","Picnic","tt0048491","115 min"
1955,1956,28,"BEST MOTION PICTURE","Harold Hecht, Producer","Marty","tt0048356","90 min"
1955,1956,28,"CINEMATOGRAPHY (Black-and-White)","James Wong Howe","The Rose Tattoo","tt0048563","117 min"
1955,1956,28,"CINEMATOGRAPHY (Color)","Robert Burks","To Catch a Thief","tt0048728","106 min"
1955,1956,28,"COSTUME DESIGN (Black-and-White)","Helen Rose","I'll Cry Tomorrow","tt0048191","117 min"
1955,1956,28,"COSTUME DESIGN (Color)","Charles LeMaire","Love Is a Many-Splendored Thing","tt0048316","102 min"
1955,1956,28,"DIRECTING","Delbert Mann","Marty","tt0048356","90 min"
1954,1956,28,"DOCUMENTARY (Feature)","Nancy Hamilton, Producer","The Unconquered","tt0048157","55 min"
1955,1956,28,"DOCUMENTARY (Short Subject)","Walt Disney, Producer","Men Against the Arctic","tt0048369","30 min"
1955,1956,28,"FILM EDITING","Charles Nelson, William A. Lyon","Picnic","tt0048491","115 min"
1955,1956,28,"MUSIC (Music Score of a Dramatic or Comedy Picture)","Alfred Newman","Love Is a Many-Splendored Thing","tt0048316","102 min"
1955,1956,28,"MUSIC (Scoring of a Musical Picture)","Robert Russell Bennett, Jay Blackton, Adolph Deutsch","Oklahoma!","tt0048445","145 min"
1955,1956,28,"MUSIC (Song)","Music by Sammy Fain; Lyrics by Paul Francis Webster","Love Is a Many-Splendored Thing","tt0048316","102 min"
1955,1956,28,"SHORT SUBJECT (Cartoon)","Edward Selzer, Producer","Speedy Gonzales","tt0048649","7 min"
1955,1956,28,"SHORT SUBJECT (One-reel)","Edmund Reek, Producer","Survival City","tt0048677","20 min"
1956,1956,28,"SHORT SUBJECT (Two-reel)","Wilbur T. Blume, Producer","The Face of Lincoln","tt0048049","20 min"
1955,1956,28,"SOUND RECORDING","Todd-AO Sound Department, Fred Hynes, Sound Director","Oklahoma!","tt0048445","145 min"
1954,1956,28,"SPECIAL EFFECTS","Paramount Studio","The Bridges at Toko-Ri","tt0046806","102 min"
1955,1956,28,"WRITING (Motion Picture Story)","Daniel Fuchs","Love Me or Leave Me","tt0048317","122 min"
1955,1956,28,"WRITING (Screenplay)","Paddy Chayefsky","Marty","tt0048356","90 min"
1955,1956,28,"WRITING (Story and Screenplay)","William Ludwig, Sonya Levien","Interrupted Melody","tt0048210","106 min"
1956,1957,29,"ACTOR","Yul Brynner","The King and I","tt0049408","133 min"
1956,1957,29,"ACTOR IN A SUPPORTING ROLE","Anthony Quinn","Lust for Life","tt0049456","122 min"
1956,1957,29,"ACTRESS","Ingrid Bergman","Anastasia","tt0048947","105 min"
1956,1957,29,"ACTRESS IN A SUPPORTING ROLE","Dorothy Malone","Written on the Wind","tt0049966","99 min"
1956,1957,29,"ART DIRECTION (Black-and-White)","Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason","Somebody Up There Likes Me","tt0049778","113 min"
1956,1957,29,"ART DIRECTION (Color)","Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox","The King and I","tt0049408","133 min"
1956,1957,29,"BEST MOTION PICTURE","Michael Todd, Producer","Around the World in 80 Days","tt0048960","175 min"
1956,1957,29,"CINEMATOGRAPHY (Black-and-White)","Joseph Ruttenberg","Somebody Up There Likes Me","tt0049778","113 min"
1956,1957,29,"CINEMATOGRAPHY (Color)","Lionel Lindon","Around the World in 80 Days","tt0048960","175 min"
1956,1957,29,"COSTUME DESIGN (Black-and-White)","Jean Louis","The Solid Gold Cadillac","tt0049777","99 min"
1956,1957,29,"COSTUME DESIGN (Color)","Irene Sharaff","The King and I","tt0049408","133 min"
1956,1957,29,"DIRECTING","George Stevens","Giant","tt0049261","201 min"
1956,1957,29,"DOCUMENTARY (Feature)","Jacques-Yves Cousteau, Producer","Le monde du silence","tt0049518","86 min"
1957,1957,29,"DOCUMENTARY (Short Subject)","Louis Clyde Stoumen, Producer","The True Story of the Civil War","tt0049885","29 min"
1956,1957,29,"FILM EDITING","Gene Ruggiero, Paul Weatherwax","Around the World in 80 Days","tt0048960","175 min"
1954,1957,29,"FOREIGN LANGUAGE FILM","Italy; Dino De Laurentiis and Carlo Ponti, Producers","La Strada","tt0047528","108 min"
1956,1957,29,"MUSIC (Music Score of a Dramatic or Comedy Picture)","Victor Young","Around the World in 80 Days","tt0048960","175 min"
1956,1957,29,"MUSIC (Scoring of a Musical Picture)","Alfred Newman, Ken Darby","The King and I","tt0049408","133 min"
1956,1957,29,"MUSIC (Song)","Music and Lyrics by Jay Livingston and Ray Evans","The Man Who Knew Too Much","tt0049470","120 min"
1956,1957,29,"SHORT SUBJECT (Cartoon)","Stephen Bosustow, Producer","Magoo's Puddle Jumper","tt0049510","6 min"
1956,1957,29,"SHORT SUBJECT (One-reel)","Konstantin Kalser, Producer","Crashing the Water Barrier","tt0049102","9 min"
1955,1957,29,"SHORT SUBJECT (Two-reel)","Romulus Films","The Bespoke Overcoat","tt0049000","36 min"
1956,1957,29,"SOUND RECORDING","20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director","The King and I","tt0049408","133 min"
1956,1957,29,"SPECIAL EFFECTS","John Fulton","The Ten Commandments","tt0049833","220 min"
1956,1957,29,"WRITING (Motion Picture Story)","Dalton Trumbo","The Brave One","tt0049030","100 min"
1956,1957,29,"WRITING (Screenplay--Adapted)","James Poe, John Farrow, S.J. Perelman","Around the World in 80 Days","tt0048960","175 min"
1956,1957,29,"WRITING (Screenplay--Original)","Albert Lamorisse","The Red Balloon","tt0048980","34 min"
1957,1958,30,"ACTOR","Alec Guinness","The Bridge on the River Kwai","tt0050212","161 min"
1957,1958,30,"ACTOR IN A SUPPORTING ROLE","Red Buttons","Sayonara","tt0050933","147 min"
1957,1958,30,"ACTRESS","Joanne Woodward","The Three Faces of Eve","tt0051077","91 min"
1957,1958,30,"ACTRESS IN A SUPPORTING ROLE","Miyoshi Umeki","Sayonara","tt0050933","147 min"
1957,1958,30,"ART DIRECTION","Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley","Sayonara","tt0050933","147 min"
1957,1958,30,"BEST MOTION PICTURE","Sam Spiegel, Producer","The Bridge on the River Kwai","tt0050212","161 min"
1957,1958,30,"CINEMATOGRAPHY","Jack Hildyard","The Bridge on the River Kwai","tt0050212","161 min"
1957,1958,30,"COSTUME DESIGN","Orry-Kelly","Les Girls","tt0050631","114 min"
1957,1958,30,"DIRECTING","David Lean","The Bridge on the River Kwai","tt0050212","161 min"
1957,1958,30,"DOCUMENTARY (Feature)","Jerome Hill, Producer","Albert Schweitzer","tt0050109","85 min"
1957,1958,30,"FILM EDITING","Peter Taylor","The Bridge on the River Kwai","tt0050212","161 min"
1957,1958,30,"FOREIGN LANGUAGE FILM","Italy","Nights of Cabiria","tt0050783","110 min"
1957,1958,30,"MUSIC (Scoring)","Malcolm Arnold","The Bridge on the River Kwai","tt0050212","161 min"
1957,1958,30,"MUSIC (Song)","Music by James Van Heusen; Lyrics by Sammy Cahn","The Joker Is Wild","tt0050569","126 min"
1957,1958,30,"SHORT SUBJECT (Cartoon)","Edward Selzer, Producer","Birds Anonymous","tt0050194","7 min"
1957,1958,30,"SHORT SUBJECT (Live Action)","Larry Lansburgh, Producer","The Wetback Hound","tt0051187","18 min"
1957,1958,30,"SOUND RECORDING","Warner Bros. Studio Sound Department, George Groves, Sound Director","Sayonara","tt0050933","147 min"
1957,1958,30,"SPECIAL EFFECTS","Audible Effects by Walter Rossi","The Enemy Below","tt0050356","98 min"
1957,1958,30,"WRITING (Screenplay--based on material from another medium)","Michael Wilson, Carl Foreman, Pierre Boulle","The Bridge on the River Kwai","tt0050212","161 min"
1957,1958,30,"WRITING (Story and Screenplay--written directly for the screen)","George Wells","Designing Woman","tt0050306","118 min"
1958,1959,31,"ACTOR","David Niven","Separate Tables","tt0052182","100 min"
1958,1959,31,"ACTOR IN A SUPPORTING ROLE","Burl Ives","The Big Country","tt0051411","166 min"
1958,1959,31,"ACTRESS","Susan Hayward","I Want to Live!","tt0051758","120 min"
1958,1959,31,"ACTRESS IN A SUPPORTING ROLE","Wendy Hiller","Separate Tables","tt0052182","100 min"
1958,1959,31,"ART DIRECTION","Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason","Gigi","tt0051658","115 min"
1958,1959,31,"BEST MOTION PICTURE","Arthur Freed, Producer","Gigi","tt0051658","115 min"
1958,1959,31,"CINEMATOGRAPHY (Black-and-White)","Sam Leavitt","The Defiant Ones","tt0051525","96 min"
1958,1959,31,"CINEMATOGRAPHY (Color)","Joseph Ruttenberg","Gigi","tt0051658","115 min"
1958,1959,31,"COSTUME DESIGN","Cecil Beaton","Gigi","tt0051658","115 min"
1958,1959,31,"DIRECTING","Vincente Minnelli","Gigi","tt0051658","115 min"
1958,1959,31,"DOCUMENTARY (Feature)","Ben Sharpsteen, Producer","White Wilderness","tt0052389","72 min"
1958,1959,31,"DOCUMENTARY (Short Subject)","Ben Sharpsteen, Producer","Ama Girls","tt0051339","29 min"
1958,1959,31,"FILM EDITING","Adrienne Fazan","Gigi","tt0051658","115 min"
1958,1959,31,"FOREIGN LANGUAGE FILM","France","Mon Oncle","tt0050706","116 min"
1958,1959,31,"MUSIC (Music Score of a Dramatic or Comedy Picture)","Dimitri Tiomkin","The Old Man and the Sea","tt0052027","86 min"
1958,1959,31,"MUSIC (Scoring of a Musical Picture)","Andre Previn","Gigi","tt0051658","115 min"
1958,1959,31,"MUSIC (Song)","Music by Frederick Loewe; Lyrics by Alan Jay Lerner","Gigi","tt0051658","115 min"
1958,1959,31,"SHORT SUBJECT (Cartoon)","John W. Burton, Producer","Knighty Knight Bugs","tt0051825","6 min"
1958,1959,31,"SHORT SUBJECT (Live Action)","Walt Disney, Producer","Grand Canyon","tt0051677","29 min"
1958,1959,31,"SOUND","Todd-AO Sound Department, Fred Hynes, Sound Director","South Pacific","tt0052225","157 min"
1958,1959,31,"SPECIAL EFFECTS","Visual Effects by Tom Howard","Tom Thumb","tt0052427","98 min"
1958,1959,31,"WRITING (Screenplay--based on material from another medium)","Alan Jay Lerner","Gigi","tt0051658","115 min"
1958,1959,31,"WRITING (Story and Screenplay--written directly for the screen)","Nedrick Young, Harold Jacob Smith","The Defiant Ones","tt0051525","96 min"
1959,1960,32,"ACTOR","Charlton Heston","Ben-Hur","tt0052618","212 min"
1959,1960,32,"ACTOR IN A SUPPORTING ROLE","Hugh Griffith","Ben-Hur","tt0052618","212 min"
1959,1960,32,"ACTRESS","Simone Signoret","Room at the Top","tt0053226","115 min"
1959,1960,32,"ACTRESS IN A SUPPORTING ROLE","Shelley Winters","The Diary of Anne Frank","tt0052738","180 min"
1959,1960,32,"ART DIRECTION (Black-and-White)","Art Direction:  Lyle R. Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Stuart A. Reiss","The Diary of Anne Frank","tt0052738","180 min"
1959,1960,32,"ART DIRECTION (Color)","Art Direction:  William A. Horning, Edward Carfagno;  Set Decoration:  Hugh Hunt","Ben-Hur","tt0052618","212 min"
1959,1960,32,"BEST MOTION PICTURE","Sam Zimbalist, Producer","Ben-Hur","tt0052618","212 min"
1959,1960,32,"CINEMATOGRAPHY (Black-and-White)","William C. Mellor","The Diary of Anne Frank","tt0052738","180 min"
1959,1960,32,"CINEMATOGRAPHY (Color)","Robert L. Surtees","Ben-Hur","tt0052618","212 min"
1959,1960,32,"COSTUME DESIGN (Black-and-White)","Orry-Kelly","Some Like It Hot","tt0053291","121 min"
1959,1960,32,"COSTUME DESIGN (Color)","Elizabeth Haffenden","Ben-Hur","tt0052618","212 min"
1959,1960,32,"DIRECTING","William Wyler","Ben-Hur","tt0052618","212 min"
1959,1960,32,"DOCUMENTARY (Feature)","Bernhard Grzimek, Producer","Serengeti","tt0053268","85 min"
1958,1960,32,"DOCUMENTARY (Short Subject)","Bert Haanstra, Producer","Glas","tt0052852","11 min"
1959,1960,32,"FILM EDITING","Ralph E. Winters, John D. Dunning","Ben-Hur","tt0052618","212 min"
1959,1960,32,"FOREIGN LANGUAGE FILM","France","Black Orpheus","tt0053146","100 min"
1959,1960,32,"MUSIC (Music Score of a Dramatic or Comedy Picture)","Miklos Rozsa","Ben-Hur","tt0052618","212 min"
1959,1960,32,"MUSIC (Scoring of a Musical Picture)","Andre Previn, Ken Darby","Porgy and Bess","tt0053182","138 min"
1959,1960,32,"MUSIC (Song)","Music by James Van Heusen; Lyrics by Sammy Cahn","A Hole in the Head","tt0052896","120 min"
1959,1960,32,"SHORT SUBJECT (Cartoon)","John Hubley, Producer","Moonbird","tt0053080","10 min"
1959,1960,32,"SHORT SUBJECT (Live Action)","Jacques-Yves Cousteau, Producer","The Golden Fish","tt0052855","19 min"
1959,1960,32,"SOUND","Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director","Ben-Hur","tt0052618","212 min"
1959,1960,32,"SPECIAL EFFECTS","Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory","Ben-Hur","tt0052618","212 min"
1959,1960,32,"WRITING (Screenplay--based on material from another medium)","Neil Paterson","Room at the Top","tt0053226","115 min"
1959,1960,32,"WRITING (Story and Screenplay--written directly for the screen)","Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin","Pillow Talk","tt0053172","102 min"
1960,1961,33,"ACTOR","Burt Lancaster","Elmer Gantry","tt0053793","146 min"
1960,1961,33,"ACTOR IN A SUPPORTING ROLE","Peter Ustinov","Spartacus","tt0054331","197 min"
1960,1961,33,"ACTRESS","Elizabeth Taylor","BUtterfield 8","tt0053622","109 min"
1960,1961,33,"ACTRESS IN A SUPPORTING ROLE","Shirley Jones","Elmer Gantry","tt0053793","146 min"
1960,1961,33,"ART DIRECTION (Black-and-White)","Art Direction:  Alexander Trauner;  Set Decoration:  Edward G. Boyle","The Apartment","tt0053604","125 min"
1960,1961,33,"ART DIRECTION (Color)","Art Direction:  Alexander Golitzen, Eric Orbom;  Set Decoration:  Russell A. Gausman, Julia Heron","Spartacus","tt0054331","197 min"
1960,1961,33,"BEST MOTION PICTURE","Billy Wilder, Producer","The Apartment","tt0053604","125 min"
1960,1961,33,"CINEMATOGRAPHY (Black-and-White)","Freddie Francis","Sons and Lovers","tt0054326","103 min"
1960,1961,33,"CINEMATOGRAPHY (Color)","Russell Metty","Spartacus","tt0054331","197 min"
1960,1961,33,"COSTUME DESIGN (Black-and-White)","Edith Head, Edward Stevenson","The Facts of Life","tt0053810","103 min"
1960,1961,33,"COSTUME DESIGN (Color)","Valles, Bill Thomas","Spartacus","tt0054331","197 min"
1960,1961,33,"DIRECTING","Billy Wilder","The Apartment","tt0053604","125 min"
1960,1961,33,"DOCUMENTARY (Feature)","Larry Lansburgh, Producer","The Horse with the Flying Tail","tt0054993","48 min"
1960,1961,33,"DOCUMENTARY (Short Subject)","James Hill, Producer","Giuseppina","tt0053866","32 min"
1960,1961,33,"FILM EDITING","Daniel Mandell","The Apartment","tt0053604","125 min"
1960,1961,33,"FOREIGN LANGUAGE FILM","Sweden","The Virgin Spring","tt0053976","89 min"
1960,1961,33,"MUSIC (Music Score of a Dramatic or Comedy Picture)","Ernest Gold","Exodus","tt0053804","208 min"
1960,1961,33,"MUSIC (Scoring of a Musical Picture)","Morris Stoloff, Harry Sukman","Song Without End","tt0054324","141 min"
1960,1961,33,"MUSIC (Song)","Music and Lyrics by Manos Hadjidakis","Never on Sunday","tt0054198","97 min"
1961,1961,33,"SHORT SUBJECT (Cartoon)","William L. Snyder, Producer","Munro","tt0054100","9 min"
1960,1961,33,"SHORT SUBJECT (Live Action)","Ezra R. Baker, Producer","Day of the Painter","tt0053753","15 min"
1960,1961,33,"SOUND","Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director","The Alamo","tt0053580","162 min"
1960,1961,33,"SPECIAL EFFECTS","Visual Effects by Gene Warren, Tim Baar","The Time Machine","tt0054387","103 min"
1960,1961,33,"WRITING (Screenplay--based on material from another medium)","Richard Brooks","Elmer Gantry","tt0053793","146 min"
1960,1961,33,"WRITING (Story and Screenplay--written directly for the screen)","Billy Wilder, I. A. L. Diamond","The Apartment","tt0053604","125 min"
1961,1962,34,"ACTOR","Maximilian Schell","Judgment at Nuremberg","tt0055031","179 min"
1961,1962,34,"ACTOR IN A SUPPORTING ROLE","George Chakiris","West Side Story","tt0055614","153 min"
1960,1962,34,"ACTRESS","Sophia Loren","Two Women","tt0054749","101 min"
1961,1962,34,"ACTRESS IN A SUPPORTING ROLE","Rita Moreno","West Side Story","tt0055614","153 min"
1961,1962,34,"ART DIRECTION (Black-and-White)","Art Direction:  Harry Horner;  Set Decoration:  Gene Callahan","The Hustler","tt0054997","134 min"
1961,1962,34,"ART DIRECTION (Color)","Art Direction:  Boris Leven;  Set Decoration:  Victor A. Gangelin","West Side Story","tt0055614","153 min"
1961,1962,34,"BEST MOTION PICTURE","Robert Wise, Producer","West Side Story","tt0055614","153 min"
1961,1962,34,"CINEMATOGRAPHY (Black-and-White)","Eugen Shuftan","The Hustler","tt0054997","134 min"
1961,1962,34,"CINEMATOGRAPHY (Color)","Daniel L. Fapp","West Side Story","tt0055614","153 min"
1960,1962,34,"COSTUME DESIGN (Black-and-White)","Piero Gherardi","The Sweet Life","tt0053779","174 min"
1961,1962,34,"COSTUME DESIGN (Color)","Irene Sharaff","West Side Story","tt0055614","153 min"
1961,1962,34,"DIRECTING","Robert Wise, Jerome Robbins","West Side Story","tt0055614","153 min"
1961,1962,34,"DOCUMENTARY (Feature)","Arthur Cohn and Rene Lafuite, Producers","Le ciel et la boue","tt0053714","92 min"
1961,1962,34,"DOCUMENTARY (Short Subject)","Frank P. Bibas, Producer","Project Hope","tt0055333","30 min"
1961,1962,34,"FILM EDITING","Thomas Stanford","West Side Story","tt0055614","153 min"
1961,1962,34,"FOREIGN LANGUAGE FILM","Sweden","Through a Glass Darkly","tt0055499","90 min"
1961,1962,34,"MUSIC (Music Score of a Dramatic or Comedy Picture)","Henry Mancini","Breakfast at Tiffany's","tt0054698","115 min"
1961,1962,34,"MUSIC (Scoring of a Musical Picture)","Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal","West Side Story","tt0055614","153 min"
1961,1962,34,"MUSIC (Song)","Music by Henry Mancini; Lyrics by Johnny Mercer","Breakfast at Tiffany's","tt0054698","115 min"
1961,1962,34,"SHORT SUBJECT (Cartoon)","Zagreb Film","Surogat","tt0054854","10 min"
1961,1962,34,"SHORT SUBJECT (Live Action)","Templar Film Studios","Seawards the Great Ships","tt0055420","28 min"
1961,1962,34,"SOUND","Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director","West Side Story","tt0055614","153 min"
1961,1962,34,"SPECIAL EFFECTS","Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham","The Guns of Navarone","tt0054953","158 min"
1961,1962,34,"WRITING (Screenplay--based on material from another medium)","Abby Mann","Judgment at Nuremberg","tt0055031","179 min"
1961,1962,34,"WRITING (Story and Screenplay--written directly for the screen)","William Inge","Splendor in the Grass","tt0055471","124 min"
1962,1963,35,"ACTOR","Gregory Peck","To Kill a Mockingbird","tt0056592","129 min"
1962,1963,35,"ACTOR IN A SUPPORTING ROLE","Ed Begley","Sweet Bird of Youth","tt0056541","120 min"
1962,1963,35,"ACTRESS","Anne Bancroft","The Miracle Worker","tt0056241","106 min"
1962,1963,35,"ACTRESS IN A SUPPORTING ROLE","Patty Duke","The Miracle Worker","tt0056241","106 min"
1962,1963,35,"ART DIRECTION (Black-and-White)","Art Direction:  Alexander Golitzen, Henry Bumstead;  Set Decoration:  Oliver Emert","To Kill a Mockingbird","tt0056592","129 min"
1962,1963,35,"ART DIRECTION (Color)","Art Direction:  John Box, John Stoll;  Set Decoration:  Dario Simoni","Lawrence of Arabia","tt0056172","228 min"
1962,1963,35,"BEST PICTURE","Sam Spiegel, Producer","Lawrence of Arabia","tt0056172","228 min"
1962,1963,35,"CINEMATOGRAPHY (Black-and-White)","Jean Bourgoin, Walter Wottitz, (Henri Persin)","The Longest Day","tt0056197","178 min"
1962,1963,35,"CINEMATOGRAPHY (Color)","Fred A. Young","Lawrence of Arabia","tt0056172","228 min"
1962,1963,35,"COSTUME DESIGN (Black-and-White)","Norma Koch","What Ever Happened to Baby Jane?","tt0056687","134 min"
1962,1963,35,"COSTUME DESIGN (Color)","Mary Wills","The Wonderful World of the Brothers Grimm","tt0056700","135 min"
1962,1963,35,"DIRECTING","David Lean","Lawrence of Arabia","tt0056172","228 min"
1962,1963,35,"DOCUMENTARY (Feature)","Louis Clyde Stoumen, Producer","Black Fox: the True Story of Adolf Hitler","tt0055801","89 min"
1961,1963,35,"DOCUMENTARY (Short Subject)","Jack Howells, Producer","A Tribute to Dylan Thomas","tt0055943","30 min"
1962,1963,35,"FILM EDITING","Anne Coates","Lawrence of Arabia","tt0056172","228 min"
1962,1963,35,"FOREIGN LANGUAGE FILM","France","Sundays and Cybèle","tt0055910","111 min"
1962,1963,35,"MUSIC (Music Score--substantially original)","Maurice Jarre","Lawrence of Arabia","tt0056172","228 min"
1962,1963,35,"MUSIC (Scoring of Music--adaptation or treatment)","Ray Heindorf","The Music Man","tt0056262","151 min"
1962,1963,35,"MUSIC (Song)","Music by Henry Mancini; Lyrics by Johnny Mercer","Days of Wine and Roses","tt0055895","117 min"
1962,1963,35,"SHORT SUBJECT (Cartoon)","John Hubley and Faith Hubley, Producers","The Hole","tt0056075","15 min"
1962,1963,35,"SHORT SUBJECT (Live Action)","Pierre Etaix and J.C. Carrière, Producers","Happy Anniversary","tt0056066","15 min"
1962,1963,35,"SOUND","Shepperton Studio Sound Department, John Cox, Sound Director","Lawrence of Arabia","tt0056172","228 min"
1962,1963,35,"SPECIAL EFFECTS","Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont","The Longest Day","tt0056197","178 min"
1962,1963,35,"WRITING (Screenplay--based on material from another medium)","Horton Foote","To Kill a Mockingbird","tt0056592","129 min"
1961,1963,35,"WRITING (Story and Screenplay--written directly for the screen)","Ennio de Concini, Alfredo Giannetti, Pietro Germi","Divorce Italian Style","tt0055913","105 min"
1963,1964,36,"ACTOR","Sidney Poitier","Lilies of the Field","tt0057251","94 min"
1963,1964,36,"ACTOR IN A SUPPORTING ROLE","Melvyn Douglas","Hud","tt0057163","112 min"
1963,1964,36,"ACTRESS","Patricia Neal","Hud","tt0057163","112 min"
1963,1964,36,"ACTRESS IN A SUPPORTING ROLE","Margaret Rutherford","The V.I.P.s","tt0057634","119 min"
1963,1964,36,"ART DIRECTION (Black-and-White)","Gene Callahan","America America","tt0056825","174 min"
1963,1964,36,"ART DIRECTION (Color)","Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer","Cleopatra","tt0056937","192 min"
1963,1964,36,"BEST PICTURE","Tony Richardson, Producer","Tom Jones","tt0057590","129 min"
1963,1964,36,"CINEMATOGRAPHY (Black-and-White)","James Wong Howe","Hud","tt0057163","112 min"
1963,1964,36,"CINEMATOGRAPHY (Color)","Leon Shamroy","Cleopatra","tt0056937","192 min"
1963,1964,36,"COSTUME DESIGN (Black-and-White)","Piero Gherardi","8½","tt0056801","138 min"
1963,1964,36,"COSTUME DESIGN (Color)","Irene Sharaff, Vittorio Nino Novarese, Renie","Cleopatra","tt0056937","192 min"
1963,1964,36,"DIRECTING","Tony Richardson","Tom Jones","tt0057590","129 min"
1963,1964,36,"DOCUMENTARY (Feature)","Robert Hughes, Producer","Robert Frost: A Lover's Quarrel with the World","tt0057459","41 min"
1963,1964,36,"DOCUMENTARY (Short Subject)","Simon Schiffrin, Producer","Chagall","tt0056920","25 min"
1962,1964,36,"FILM EDITING","Harold F. Kress","How the West Was Won","tt0056085","164 min"
1963,1964,36,"FOREIGN LANGUAGE FILM","Italy","8½","tt0056801","138 min"
1963,1964,36,"MUSIC (Music Score--substantially original)","John Addison","Tom Jones","tt0057590","129 min"
1963,1964,36,"MUSIC (Scoring of Music--adaptation or treatment)","Andre Previn","Irma la Douce","tt0057187","147 min"
1963,1964,36,"MUSIC (Song)","Music by James Van Heusen; Lyrics by Sammy Cahn","Papa's Delicate Condition","tt0057400","98 min"
1963,1964,36,"SHORT SUBJECT (Cartoon)","Ernest Pintoff, Producer","The Critic","tt0056965","4 min"
1961,1964,36,"SHORT SUBJECT (Live Action)","Paul de Roubaix and Marcel Ichac, Producers","Occurrence at Owl Creek Bridge","tt0056300","28 min"
1962,1964,36,"SOUND","Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director","How the West Was Won","tt0056085","164 min"
1963,1964,36,"SOUND EFFECTS","Walter G. Elliott","It's a Mad Mad Mad Mad World","tt0057193","210 min"
1963,1964,36,"SPECIAL EFFECTS","Emil Kosa, Jr.","Cleopatra","tt0056937","192 min"
1963,1964,36,"WRITING (Screenplay--based on material from another medium)","John Osborne","Tom Jones","tt0057590","129 min"
1962,1964,36,"WRITING (Story and Screenplay--written directly for the screen)","James R. Webb","How the West Was Won","tt0056085","164 min"
1964,1965,37,"ACTOR","Rex Harrison","My Fair Lady","tt0058385","170 min"
1964,1965,37,"ACTOR IN A SUPPORTING ROLE","Peter Ustinov","Topkapi","tt0058672","120 min"
1964,1965,37,"ACTRESS","Julie Andrews","Mary Poppins","tt0058331","139 min"
1964,1965,37,"ACTRESS IN A SUPPORTING ROLE","Lila Kedrova","Zorba the Greek","tt0057831","142 min"
1964,1965,37,"ART DIRECTION (Black-and-White)","Vassilis Fotopoulos","Zorba the Greek","tt0057831","142 min"
1964,1965,37,"ART DIRECTION (Color)","Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins","My Fair Lady","tt0058385","170 min"
1964,1965,37,"BEST PICTURE","Jack L. Warner, Producer","My Fair Lady","tt0058385","170 min"
1964,1965,37,"CINEMATOGRAPHY (Black-and-White)","Walter Lassally","Zorba the Greek","tt0057831","142 min"
1964,1965,37,"CINEMATOGRAPHY (Color)","Harry Stradling","My Fair Lady","tt0058385","170 min"
1964,1965,37,"COSTUME DESIGN (Black-and-White)","Dorothy Jeakins","The Night of the Iguana","tt0058404","125 min"
1964,1965,37,"COSTUME DESIGN (Color)","Cecil Beaton","My Fair Lady","tt0058385","170 min"
1964,1965,37,"DIRECTING","George Cukor","My Fair Lady","tt0058385","170 min"
1964,1965,37,"DOCUMENTARY (Feature)","Jacques-Yves Cousteau, Producer","Le monde sans soleil","tt0058364","93 min"
1964,1965,37,"DOCUMENTARY (Short Subject)","Charles Guggenheim, Producer","Nine from Little Rock","tt0058410","20 min"
1964,1965,37,"FILM EDITING","Cotton Warburton","Mary Poppins","tt0058331","139 min"
1963,1965,37,"FOREIGN LANGUAGE FILM","Italy","Yesterday, Today and Tomorrow","tt0057171","119 min"
1964,1965,37,"MUSIC (Music Score--substantially original)","Richard M. Sherman, Robert B. Sherman","Mary Poppins","tt0058331","139 min"
1964,1965,37,"MUSIC (Scoring of Music--adaptation or treatment)","Andre Previn","My Fair Lady","tt0058385","170 min"
1964,1965,37,"MUSIC (Song)","Music and Lyrics by Richard M. Sherman and Robert B. Sherman","Mary Poppins","tt0058331","139 min"
